victims,date,type_of_attack,location,notes,name,age,sex,country
Adult male,"January 13, 2019",Unprovoked,"Osipenko Village, Berdyansk District, Zaporozhye Oblast, Ukraine","A woodcutter was attacked from behind by a wolf, sustaining minor injuries.",Adult male,NA,male,Ukraine
Lalit Hemam and two others,"January 7, 2019",Unprovoked,"Bulauka Village, Jamboni Block, Jhargram District, West Bengal, India","Three youth were attacked at a campfire, one fatally injured and two seriously injured.",Lalit Hemam,NA,NA,India
Lalit Hemam and two others,"January 7, 2019",Unprovoked,"Bulauka Village, Jamboni Block, Jhargram District, West Bengal, India","Three youth were attacked at a campfire, one fatally injured and two seriously injured.",two others,NA,NA,India
"Three male residents, one adult and two children",January–April 2019,Predatory,"Dashtak and Sipindz Villages, Shughnon District, Gorno Badakhshan Autonomous Region, Tajikistan",A series of wolf attacks injured and killed people in the area.,Three male residents,NA,male,Tajikistan
"Three male residents, one adult and two children",January–April 2019,Predatory,"Dashtak and Sipindz Villages, Shughnon District, Gorno Badakhshan Autonomous Region, Tajikistan",A series of wolf attacks injured and killed people in the area.,one adult,adult,NA,Tajikistan
"Three male residents, one adult and two children",January–April 2019,Predatory,"Dashtak and Sipindz Villages, Shughnon District, Gorno Badakhshan Autonomous Region, Tajikistan",A series of wolf attacks injured and killed people in the area.,two children,child,NA,Tajikistan
"Vikesh, 2, male","December 30, 2018",Predatory,"Hakimpur Village, Sambhal district, Uttar Pradesh, India",A boy was fatally attacked and taken away by wolves.,Vikesh,NA,NA,India
"Vikesh, 2, male","December 30, 2018",Predatory,"Hakimpur Village, Sambhal district, Uttar Pradesh, India",A boy was fatally attacked and taken away by wolves.,NA,NA,NA,India
"Vikesh, 2, male","December 30, 2018",Predatory,"Hakimpur Village, Sambhal district, Uttar Pradesh, India",A boy was fatally attacked and taken away by wolves.,male,NA,male,India
Five people,"December 22, 2018",Unprovoked,"Partskhanakanibi Village, Tsqaltubo Municipality, Georgia","Five people were attacked by wolves, including a dog walker at 2 am.",Five people,NA,NA,Georgia
"Zenoviy Lototsky, 67, maleBogdan Kozyr, 46, male","December 1, 2018",Rabid,"Bilyavintsy Village, Stary Petlikivtsi Village, Buchachsky Area, Ternopil Region, Ukraine",Two victims were attacked in two incidents.,Zenoviy Lototsky,NA,NA,Ukraine
"Zenoviy Lototsky, 67, maleBogdan Kozyr, 46, male","December 1, 2018",Rabid,"Bilyavintsy Village, Stary Petlikivtsi Village, Buchachsky Area, Ternopil Region, Ukraine",Two victims were attacked in two incidents.,NA,NA,NA,Ukraine
"Zenoviy Lototsky, 67, maleBogdan Kozyr, 46, male","December 1, 2018",Rabid,"Bilyavintsy Village, Stary Petlikivtsi Village, Buchachsky Area, Ternopil Region, Ukraine",Two victims were attacked in two incidents.,male,NA,male,Ukraine
"Zenoviy Lototsky, 67, maleBogdan Kozyr, 46, male","December 1, 2018",Rabid,"Bilyavintsy Village, Stary Petlikivtsi Village, Buchachsky Area, Ternopil Region, Ukraine",Two victims were attacked in two incidents.,Bogdan Kozyr,NA,NA,Ukraine
"Zenoviy Lototsky, 67, maleBogdan Kozyr, 46, male","December 1, 2018",Rabid,"Bilyavintsy Village, Stary Petlikivtsi Village, Buchachsky Area, Ternopil Region, Ukraine",Two victims were attacked in two incidents.,NA,NA,NA,Ukraine
"Zenoviy Lototsky, 67, maleBogdan Kozyr, 46, male","December 1, 2018",Rabid,"Bilyavintsy Village, Stary Petlikivtsi Village, Buchachsky Area, Ternopil Region, Ukraine",Two victims were attacked in two incidents.,male,NA,male,Ukraine
"Lalmohan Soren, 30, male","December, 2018",Unprovoked,"Jamboni, Jhargram district, West Bengal, India",A wolf fatally mauled a man's neck.,Lalmohan Soren,NA,NA,India
"Lalmohan Soren, 30, male","December, 2018",Unprovoked,"Jamboni, Jhargram district, West Bengal, India",A wolf fatally mauled a man's neck.,NA,NA,NA,India
"Lalmohan Soren, 30, male","December, 2018",Unprovoked,"Jamboni, Jhargram district, West Bengal, India",A wolf fatally mauled a man's neck.,male,NA,male,India
Four adults and three children,"November 29, 2018",Rabid,"Shuvi and Zangayash Village, Astara District, Azerbaijan","A wolf attacked children and adults on their way to school, then attacked others nearby.",Four adults,adult,NA,Azerbaijan
Four adults and three children,"November 29, 2018",Rabid,"Shuvi and Zangayash Village, Astara District, Azerbaijan","A wolf attacked children and adults on their way to school, then attacked others nearby.",three children,child,NA,Azerbaijan
"Anar Rajabov, 16, maleKhalid Gunduz Abdullayev, male","November 28, 2018",Unprovoked,"Biləsər Village, Lankaran Rayon, Azerbaijan",A teenager and a schoolboy were attacked and injured in the evening.,Anar Rajabov,NA,NA,Azerbaijan
"Anar Rajabov, 16, maleKhalid Gunduz Abdullayev, male","November 28, 2018",Unprovoked,"Biləsər Village, Lankaran Rayon, Azerbaijan",A teenager and a schoolboy were attacked and injured in the evening.,NA,NA,NA,Azerbaijan
"Anar Rajabov, 16, maleKhalid Gunduz Abdullayev, male","November 28, 2018",Unprovoked,"Biləsər Village, Lankaran Rayon, Azerbaijan",A teenager and a schoolboy were attacked and injured in the evening.,male,NA,male,Azerbaijan
"Anar Rajabov, 16, maleKhalid Gunduz Abdullayev, male","November 28, 2018",Unprovoked,"Biləsər Village, Lankaran Rayon, Azerbaijan",A teenager and a schoolboy were attacked and injured in the evening.,Khalid Gunduz Abdullayev,NA,NA,Azerbaijan
"Anar Rajabov, 16, maleKhalid Gunduz Abdullayev, male","November 28, 2018",Unprovoked,"Biləsər Village, Lankaran Rayon, Azerbaijan",A teenager and a schoolboy were attacked and injured in the evening.,male,NA,male,Azerbaijan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,A,NA,NA,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,NA,NA,NA,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,male,NA,male,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,A,NA,NA,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,NA,NA,NA,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,male,NA,male,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,J,NA,NA,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,NA,NA,NA,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,male,NA,male,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,I,NA,NA,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,NA,NA,NA,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,female,NA,female,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,K,NA,NA,Kyrgyzstan
"A. Kalys, 51, maleA. Abdujapar, 46, maleJ. Altyn, 42, maleI. Makhmud, 41, femaleK. Ruslan, 29","October 23, 2018",Rabid,"Maydan and Uch-Korgon, Kadamjay District, Batken Region, Kyrgyzstan",Two wolves attacked domestic animals and five people in the morning.,NA,NA,NA,Kyrgyzstan
Adult male,"October 17, 2018",Provoked,"Khrustovaya Village, Kamensky District, Moldova",A man was injured at night by a wolf while defending his dog.,Adult male,NA,male,Moldova
"Galina Matsepa, 59, female","October 5, 2018",Provoked,"Shybalyn, Berezhany Raion, Ternopil Oblast, Ukraine",A woman was attacked and injured while trying to drive a wolf out of her yard.,Galina Matsepa,NA,NA,Ukraine
"Galina Matsepa, 59, female","October 5, 2018",Provoked,"Shybalyn, Berezhany Raion, Ternopil Oblast, Ukraine",A woman was attacked and injured while trying to drive a wolf out of her yard.,NA,NA,NA,Ukraine
"Galina Matsepa, 59, female","October 5, 2018",Provoked,"Shybalyn, Berezhany Raion, Ternopil Oblast, Ukraine",A woman was attacked and injured while trying to drive a wolf out of her yard.,female,NA,female,Ukraine
Adult male,"September 15, 2018",Predatory,"Anaba Town, Al-Mazār ash-Shamālī, Irbid Province, Jordan",A citizen was attacked by a wolf in his home garden.,Adult male,NA,male,Jordan
"Vasil Mamaiashvili, 65, maleGiorgi Mchedlishvili, 60, maleTinatin Kapanadze, adult female","September 10, 2018",Unknown,"Tibaani Village, Signagi District, Kakheti Region, Georgia","A wolf attacked and injured a man sleeping on his balcony, then a woman and man waiting for a bus.",Vasil Mamaiashvili,NA,NA,Georgia
"Vasil Mamaiashvili, 65, maleGiorgi Mchedlishvili, 60, maleTinatin Kapanadze, adult female","September 10, 2018",Unknown,"Tibaani Village, Signagi District, Kakheti Region, Georgia","A wolf attacked and injured a man sleeping on his balcony, then a woman and man waiting for a bus.",NA,NA,NA,Georgia
"Vasil Mamaiashvili, 65, maleGiorgi Mchedlishvili, 60, maleTinatin Kapanadze, adult female","September 10, 2018",Unknown,"Tibaani Village, Signagi District, Kakheti Region, Georgia","A wolf attacked and injured a man sleeping on his balcony, then a woman and man waiting for a bus.",male,NA,male,Georgia
"Vasil Mamaiashvili, 65, maleGiorgi Mchedlishvili, 60, maleTinatin Kapanadze, adult female","September 10, 2018",Unknown,"Tibaani Village, Signagi District, Kakheti Region, Georgia","A wolf attacked and injured a man sleeping on his balcony, then a woman and man waiting for a bus.",Giorgi Mchedlishvili,NA,NA,Georgia
"Vasil Mamaiashvili, 65, maleGiorgi Mchedlishvili, 60, maleTinatin Kapanadze, adult female","September 10, 2018",Unknown,"Tibaani Village, Signagi District, Kakheti Region, Georgia","A wolf attacked and injured a man sleeping on his balcony, then a woman and man waiting for a bus.",NA,NA,NA,Georgia
"Vasil Mamaiashvili, 65, maleGiorgi Mchedlishvili, 60, maleTinatin Kapanadze, adult female","September 10, 2018",Unknown,"Tibaani Village, Signagi District, Kakheti Region, Georgia","A wolf attacked and injured a man sleeping on his balcony, then a woman and man waiting for a bus.",male,NA,male,Georgia
"Vasil Mamaiashvili, 65, maleGiorgi Mchedlishvili, 60, maleTinatin Kapanadze, adult female","September 10, 2018",Unknown,"Tibaani Village, Signagi District, Kakheti Region, Georgia","A wolf attacked and injured a man sleeping on his balcony, then a woman and man waiting for a bus.",Tinatin Kapanadze,NA,NA,Georgia
"Vasil Mamaiashvili, 65, maleGiorgi Mchedlishvili, 60, maleTinatin Kapanadze, adult female","September 10, 2018",Unknown,"Tibaani Village, Signagi District, Kakheti Region, Georgia","A wolf attacked and injured a man sleeping on his balcony, then a woman and man waiting for a bus.",adult female,adult,female,Georgia
Two children,"June 26, 2018",Unprovoked,"Strzebowiska and Przysłup, both in Podkarpacie region, Poland","First an eight-year-old girl, then only two kilometers away a ten-year-old boy were attacked and injured while playing outside. This happened shortly after 18:35hrs, when he was seen by a car driver about 50 meters before the junction for Karczma Brzeziniak and a fish restaurant, when she drove towards Kalnica in Przysłup; she took a photograph (included in the newspaper article).",Two children,child,NA,Poland
"Lyova Suren Arzumanyan, 41, maleKamo Carlsen Gasparyan, 11, maleTigran Khachatur Khamperyan, 10, maleArina Margaryan, 4, female","May 28, 2018",Rabid,"Mets Tagher and Tumi Communities, Hadrut Province, Artsakh","A wolf attacked four people, two of whom died of rabies infection.",Lyova Suren Arzumanyan,NA,NA,Artsakh
"Lyova Suren Arzumanyan, 41, maleKamo Carlsen Gasparyan, 11, maleTigran Khachatur Khamperyan, 10, maleArina Margaryan, 4, female","May 28, 2018",Rabid,"Mets Tagher and Tumi Communities, Hadrut Province, Artsakh","A wolf attacked four people, two of whom died of rabies infection.",NA,NA,NA,Artsakh
"Lyova Suren Arzumanyan, 41, maleKamo Carlsen Gasparyan, 11, maleTigran Khachatur Khamperyan, 10, maleArina Margaryan, 4, female","May 28, 2018",Rabid,"Mets Tagher and Tumi Communities, Hadrut Province, Artsakh","A wolf attacked four people, two of whom died of rabies infection.",male,NA,male,Artsakh
"Lyova Suren Arzumanyan, 41, maleKamo Carlsen Gasparyan, 11, maleTigran Khachatur Khamperyan, 10, maleArina Margaryan, 4, female","May 28, 2018",Rabid,"Mets Tagher and Tumi Communities, Hadrut Province, Artsakh","A wolf attacked four people, two of whom died of rabies infection.",Kamo Carlsen Gasparyan,NA,NA,Artsakh
"Lyova Suren Arzumanyan, 41, maleKamo Carlsen Gasparyan, 11, maleTigran Khachatur Khamperyan, 10, maleArina Margaryan, 4, female","May 28, 2018",Rabid,"Mets Tagher and Tumi Communities, Hadrut Province, Artsakh","A wolf attacked four people, two of whom died of rabies infection.",NA,NA,NA,Artsakh
"Lyova Suren Arzumanyan, 41, maleKamo Carlsen Gasparyan, 11, maleTigran Khachatur Khamperyan, 10, maleArina Margaryan, 4, female","May 28, 2018",Rabid,"Mets Tagher and Tumi Communities, Hadrut Province, Artsakh","A wolf attacked four people, two of whom died of rabies infection.",male,NA,male,Artsakh
"Lyova Suren Arzumanyan, 41, maleKamo Carlsen Gasparyan, 11, maleTigran Khachatur Khamperyan, 10, maleArina Margaryan, 4, female","May 28, 2018",Rabid,"Mets Tagher and Tumi Communities, Hadrut Province, Artsakh","A wolf attacked four people, two of whom died of rabies infection.",Tigran Khachatur Khamperyan,NA,NA,Artsakh
